ID,Name,Sex,Height,Weight
5,Christine Jacoba Aaftink,女,185,82
5,Christine Jacoba Aaftink,女,185,82
5,Christine Jacoba Aaftink,女,185,82
5,Christine Jacoba Aaftink,女,185,82
5,Christine Jacoba Aaftink,女,185,82
5,Christine Jacoba Aaftink,女,185,82
6,Per Knut Aaland,男,188,75
6,Per Knut Aaland,男,188,75
6,Per Knut Aaland,男,188,75
6,Per Knut Aaland,男,188,75
6,Per Knut Aaland,男,188,75
6,Per Knut Aaland,男,188,75
6,Per Knut Aaland,男,188,75
6,Per Knut Aaland,男,188,75
7,John Aalberg,男,183,72
7,John Aalberg,男,183,72
7,John Aalberg,男,183,72
7,John Aalberg,男,183,72
7,John Aalberg,男,183,72
7,John Aalberg,男,183,72
7,John Aalberg,男,183,72
7,John Aalberg,男,183,72
9,Antti Sami Aalto,男,186,96
11,Jorma Ilmari Aalto,男,182,76.5
14,Pirjo Hannele Aalto (Mattila-),女,171,65
16,Juhamatti Tapio Aaltonen,男,184,85
20,Kjetil Andr Aamodt,男,176,85
20,Kjetil Andr Aamodt,男,176,85
20,Kjetil Andr Aamodt,男,176,85
20,Kjetil Andr Aamodt,男,176,85
20,Kjetil Andr Aamodt,男,176,85
20,Kjetil Andr Aamodt,男,176,85
20,Kjetil Andr Aamodt,男,176,85
20,Kjetil Andr Aamodt,男,176,85
20,Kjetil Andr Aamodt,男,176,85
20,Kjetil Andr Aamodt,男,176,85
20,Kjetil Andr Aamodt,男,176,85
20,Kjetil Andr Aamodt,男,176,85
20,Kjetil Andr Aamodt,男,176,85
20,Kjetil Andr Aamodt,男,176,85
20,Kjetil Andr Aamodt,男,176,85
20,Kjetil Andr Aamodt,男,176,85
20,Kjetil Andr Aamodt,男,176,85
20,Kjetil Andr Aamodt,男,176,85
20,Kjetil Andr Aamodt,男,176,85
20,Kjetil Andr Aamodt,男,176,85
24,Nils Egil Aaness,男,NAN,NAN
24,Nils Egil Aaness,男,NAN,NAN
24,Nils Egil Aaness,男,NAN,NAN
26,Agnes Erika Aanonsen (-Eyde),女,169,65
35,Dagfinn Sverre Aarskog,男,190,98
40,Roald Edgar Aas,男,NAN,NAN
40,Roald Edgar Aas,男,NAN,NAN
40,Roald Edgar Aas,男,NAN,NAN
40,Roald Edgar Aas,男,NAN,NAN
40,Roald Edgar Aas,男,NAN,NAN
40,Roald Edgar Aas,男,NAN,NAN
44,Meelis Aasme,男,182,73
44,Meelis Aasme,男,182,73
44,Meelis Aasme,男,182,73
44,Meelis Aasme,男,182,73
44,Meelis Aasme,男,182,73
121,Muhammad Abbas,男,168,55
126,Forough Abbasi,女,164,58
137,Giordano Giulio Abbondati,男,175,64
137,Giordano Giulio Abbondati,男,175,64
145,Jeremy Abbott,男,175,70
145,Jeremy Abbott,男,175,70
145,Jeremy Abbott,男,175,70
363,Kazumi Abe,男,178,67
363,Kazumi Abe,男,178,67
363,Kazumi Abe,男,178,67
363,Kazumi Abe,男,178,67
367,Masashi Abe,男,175,64
367,Masashi Abe,男,175,64
367,Masashi Abe,男,175,64
367,Masashi Abe,男,175,64
367,Masashi Abe,男,175,64
391,Clarence John Abel,男,185,102
392,George Gordon Abel,男,NAN,NAN
393,Gnther Abel,男,183,80
393,Gnther Abel,男,183,80
407,Ral Daniel Abella,男,NAN,NAN
407,Ral Daniel Abella,男,NAN,NAN
407,Ral Daniel Abella,男,NAN,NAN
415,Bjrn Olof Conny berg,男,181,76
422,Julianne "Anne" Abernathy,女,165,75
